sample_id,image_path,vehicle_id,pair_id,view,width,height,body_mask,windshield_mask,bogie_mask,door_mask,keypoint_path,valid_body,valid_windshield,valid_bogie,valid_door,valid_nose_tip,source_raw
front_c0210454,images/front_c0210454.jpg,CJ1_-_06_-FrontSide,c0210454,front,1179,1080,masks/body/front_c0210454.png,masks/windshield/front_c0210454.png,,,keypoints/front_c0210454.json,1,1,0,0,1,D:\.bb\prepared_front
front_c0595a09,images/front_c0595a09.jpeg,C300BF-K-0001-05-FrontSide,c0595a09,front,966,1080,masks/body/front_c0595a09.png,masks/windshield/front_c0595a09.png,,,keypoints/front_c0595a09.json,1,1,0,0,1,D:\.bb\prepared_front
front_c06956a5,images/front_c06956a5.jpg,NYJ1-7001A-Side_Front,c06956a5,front,1342,1080,masks/body/front_c06956a5.png,masks/windshield/front_c06956a5.png,,,keypoints/front_c06956a5.json,1,1,0,0,1,D:\.bb\prepared_front
front_c114f990,images/front_c114f990.jpg,CRH2_2-Side_Front,c114f990,front,1088,1080,masks/body/front_c114f990.png,masks/windshield/front_c114f990.png,,,keypoints/front_c114f990.json,1,1,0,0,1,D:\.bb\prepared_front
front_c13e8906,images/front_c13e8906.jpg,DJF1_10_Front_Side,c13e8906,front,1087,1080,masks/body/front_c13e8906.png,masks/windshield/front_c13e8906.png,,,keypoints/front_c13e8906.json,1,1,0,0,1,D:\.bb\prepared_front
front_c160cbda,images/front_c160cbda.jpg,KDZ1_05_FrontSide,c160cbda,front,1128,1080,masks/body/front_c160cbda.png,masks/windshield/front_c160cbda.png,,,keypoints/front_c160cbda.json,1,1,0,0,1,D:\.bb\prepared_front
front_c200e5c1,images/front_c200e5c1.jpeg,CRH3C-08-FrontSide,c200e5c1,front,1080,1080,masks/body/front_c200e5c1.png,masks/windshield/front_c200e5c1.png,,,keypoints/front_c200e5c1.json,1,1,0,0,1,D:\.bb\prepared_front
front_c243126c,images/front_c243126c.jpeg,CRH2E_front_side.008,c243126c,front,1008,1080,masks/body/front_c243126c.png,masks/windshield/front_c243126c.png,,,keypoints/front_c243126c.json,1,1,0,0,1,D:\.bb\prepared_front
front_c281fd76,images/front_c281fd76.jpg,CR200J2-JT001-Side_Front,c281fd76,front,1129,1080,masks/body/front_c281fd76.png,masks/windshield/front_c281fd76.png,,,keypoints/front_c281fd76.json,1,1,0,0,1,D:\.bb\prepared_front
front_c376fc3a,images/front_c376fc3a.jpg,CRH6A_01_FrontSide,c376fc3a,front,1383,1088,masks/body/front_c376fc3a.png,masks/windshield/front_c376fc3a.png,,,keypoints/front_c376fc3a.json,1,1,0,0,1,D:\.bb\prepared_front
